vocab,lux,ycba,yuag
http://vocab.getty.edu/aat/300018752##quaPlace,https://lux.collections.yale.edu/data/place/f5d62119-98c0-4fa5-9f8c-46523d3e2b5c,https://ycba-lux.s3.amazonaws.com/v3/place/85/85ce7bf7-faa4-4d51-b371-d7ab8105d773.json##quaPlace,
http://vocab.getty.edu/aat/300021916##quaPlace,https://lux.collections.yale.edu/data/place/5be16c80-65aa-486a-8884-98f5114c472a,https://ycba-lux.s3.amazonaws.com/v3/place/91/91baf4ec-511d-4f2c-9adc-0836b19d47dc.json##quaPlace,
http://vocab.getty.edu/aat/300245462##quaPlace,https://lux.collections.yale.edu/data/place/17663562-9bce-4b16-87a2-6f1291e308ca,https://ycba-lux.s3.amazonaws.com/v3/place/ed/ed63a930-c725-47d5-8038-03432aa0fbee.json##quaPlace,
http://vocab.getty.edu/aat/300022022##quaGroup,https://lux.collections.yale.edu/data/group/489ae4c4-1476-4b46-84bf-129f735c8036,https://ycba-lux.s3.amazonaws.com/v3/place/71/711ba1b7-7a3e-4ca3-b75e-c0fc0a2f9b47.json##quaGroup,https://media.art.yale.edu/content/lux/agt/20307.json##quaGroup
http://vocab.getty.edu/aat/300020533##quaGroup,https://lux.collections.yale.edu/data/group/02a6f3af-03b5-4f68-8438-0adc140dd9ba,,https://media.art.yale.edu/content/lux/agt/19811.json##quaGroup
http://vocab.getty.edu/aat/300018660##quaGroup,https://lux.collections.yale.edu/data/group/82bc1a67-4c97-4602-866c-b0b38751774c,,https://media.art.yale.edu/content/lux/agt/9742.json##quaGroup
http://vocab.getty.edu/aat/300018653##quaGroup,https://lux.collections.yale.edu/data/group/f87580e4-7a62-4ec6-8419-dedcec4d1d66,,https://media.art.yale.edu/content/lux/agt/4072.json##quaGroup
http://vocab.getty.edu/aat/300106734##quaGroup,https://lux.collections.yale.edu/data/group/6e142147-13c8-4c0a-a08d-6b14aa55b117,,https://media.art.yale.edu/content/lux/agt/4167.json##quaGroup
http://vocab.getty.edu/aat/300386294##quaGroup,https://lux.collections.yale.edu/data/group/ee7647bc-0261-456f-b8bb-02d18e377a8c,https://ycba-lux.s3.amazonaws.com/v3/group/d3/d3e12659-084d-4a68-8d7b-478ce7e27838.json##quaGroup,
http://vocab.getty.edu/aat/300375415##quaType,https://lux.collections.yale.edu/data/concept/c4b74c1c-b88c-453f-898a-6a7ed7d082d0,https://ycba-lux.s3.amazonaws.com/v3/concept/e7/e759f059-63f5-4cfc-966b-26daa19962ca.json##quaType,
http://vocab.getty.edu/aat/300375054##quaType,https://lux.collections.yale.edu/data/concept/e520694d-abe5-4e76-a23d-9d86e1c3adb1,https://ycba-lux.s3.amazonaws.com/v3/concept/c1/c1116dc8-0e4e-40fd-8d53-1e5b711203fb.json##quaType,
http://vocab.getty.edu/aat/300216616##quaType,https://lux.collections.yale.edu/data/concept/6eb1659c-f74d-4e78-a4a9-831f999fd2fd,https://ycba-lux.s3.amazonaws.com/v3/concept/b7/b717eec0-e7ea-4f30-8123-d242055b26f6.json##quaType,
http://vocab.getty.edu/aat/300247907##quaType,https://lux.collections.yale.edu/data/concept/f69184df-5928-4c80-8292-90a4b43cf41f,https://ycba-lux.s3.amazonaws.com/v3/concept/a1/a1103f58-841a-48be-bc30-217843a63336.json##quaType,
