URL,Label,Entity
http://vocab.getty.edu/ulan/500022859##quaPerson,"Frood, Hester",person
http://vocab.getty.edu/ulan/500011936##quaPerson,"McKeever, Ian",person
http://vocab.getty.edu/ulan/500122390##quaPerson,"Nicholas I, Emperor of Russia",person
http://vocab.getty.edu/ulan/500014051##quaPerson,"Gilpin, William Sawrey",person
http://vocab.getty.edu/ulan/500019322##quaPerson,"Simmons, William Henry",person
http://vocab.getty.edu/ulan/500028067##quaPerson,"Pine, Robert Edge",person
http://vocab.getty.edu/ulan/500029541##quaPerson,"Sharples, James",person
http://vocab.getty.edu/ulan/500032143##quaPerson,"Boucher, François",person
http://vocab.getty.edu/ulan/500120844##quaPerson,"Reeve, Richard Gilson",person
http://vocab.getty.edu/ulan/500115440##quaPerson,"Devis, Arthur",person
http://vocab.getty.edu/ulan/500026889##quaPerson,"Metz, Conrad Martin",person
http://vocab.getty.edu/ulan/500002184##quaPerson,"Lely, Peter",person
http://vocab.getty.edu/ulan/500023089##quaPerson,"Dunkarton, Robert",person
http://vocab.getty.edu/ulan/500024232##quaPerson,"Cooper, Thomas Sidney",person
http://vocab.getty.edu/ulan/500010419##quaPerson,"Gordon, John Watson",person
http://vocab.getty.edu/ulan/500027946##quaPerson,"Grimshaw, John Atkinson",person
http://vocab.getty.edu/ulan/500000610##quaPerson,"Roberts, David",person
http://vocab.getty.edu/ulan/500088735##quaPerson,"Wellington, Arthur Wellesley, Duke of",person
http://vocab.getty.edu/ulan/500031222##quaPerson,"Sutcliffe, Frank Meadow",person
http://vocab.getty.edu/ulan/500025330##quaPerson,"Ryder, Thomas",person
http://vocab.getty.edu/ulan/500019476##quaPerson,"Hill, David Octavius",person
http://vocab.getty.edu/ulan/500031623##quaPerson,"Worlidge, Thomas",person
http://vocab.getty.edu/ulan/500253117##quaPerson,"Philip II, King of Spain",person
http://vocab.getty.edu/ulan/500027307##quaPerson,"Pesne, Jean",person
http://vocab.getty.edu/ulan/500115355##quaPerson,Philippe de Champaigne,person
http://vocab.getty.edu/ulan/500029893##quaPerson,"Parr, Martin",person
http://vocab.getty.edu/ulan/500016006##quaPerson,"Walker, William",person
http://vocab.getty.edu/ulan/500006082##quaPerson,"Cain, Charles William",person
http://vocab.getty.edu/ulan/500043943##quaPerson,"Wyngaerde, Frans van den",person
http://vocab.getty.edu/ulan/500019280##quaPerson,"Haussard, Jean-Baptiste",person
http://vocab.getty.edu/ulan/500118936##quaPerson,"Goya, Francisco de",person
http://vocab.getty.edu/ulan/500510722##quaPerson,"Goya  Lucientes, Francisco José de",person
http://vocab.getty.edu/ulan/500022240##quaPerson,"Amshewitz, John Henry",person
http://vocab.getty.edu/ulan/500098882##quaPerson,"Cadart, Alfred",person
